Type,Content,Username,User Reputation,Upvotes,Is Moderator
Answer,"NO

Even assuming that Google's CEO has an accurate picture of who and how writes their gargantuan code base, what they do is not our concern.

Using AI to assist with software development is not the same as presenting solutions to other people's questions as if you were a subject-matter expert.


The main issues with AI posts (answers in particular) which prompted the ban all remain:

No matter how good a GenAI model is, they can still hallucinate. There's even research that suggests AI models may never not hallucinate. The burden of vetting such content that looks good on the surface but may be fundamentally flawed then falls on the shoulders of an already strained community.
GenAI content can be produced at a much faster rate than what the community is able to curate/moderate
Even for vetted content, moderators (but anyone except the poster really) are unable to verify claims that the content was actually vetted beforehand. It'd come down to hunches and subjective bias. That kind of moderation is prone to be unfair and ineffective.
plagiarism: after having handled thousands of AI flags on this site, I can tell you that almost nobody gives proper credit to the AI. Folks tend to present the content as their own, thus misrepresenting someone else's work.
The only value proposition that Stack Overflow still has over an LLM is that there's the expectation that a human being has authored the text as written.
Allowing for an exception this big to the AI ban would open the floodgates.

There is a case to be made about using AI to improve a post's grammar, formatting, etc. but that suffers from the same issues as point #3.
I really don't see how we could realistically allow AI content in almost any form while staying true to Stack Overflow's values and a Community made of humans at its core.
",blackgreen,43411,43,1
Comment on Answer,"that NO can't be emphasized enough. if anyone wants to turn it into a granite monument that can be seen from orbit, I'd give a few bucks for the cause... and thank you for having the patience to list all the reasons why.",Christoph Rackwitz,14929,0,0
Comment on Answer,"re: ""the only value proposition"". I like to think we have more than that over LLMs :/",starball,47144,1,0
Comment on Answer,I’ve never heard (until now) anyone saying that they would contribute more/better to Stack Overflow if they only had to spend less effort. That seems like the opposite of what we want to encourage.,Clive,36936,14,0
Comment on Answer,"@Clive Yes, that’s the main argument I am making for this change. (imho, a strong one). Another argument is accessibility (e.g., some people can't type much due to medical condition).",Franck Dernoncourt,82642,0,0
Comment on Answer,"But why bother putting in extra systems for something which delivers no value? “I can expend less effort” doesn’t seem reasonable - if you don’t have the time/will, then don’t do it, leave it for those that do. Unless I’m missing something, that’s the only argument you’re making for this change?",Clive,36936,6,0
Comment on Answer,"@JohnMontgomery I agree with blackgreen's point (""GenAI content can be produced at a much faster rate than what the community is able to curate/moderate"") about that. But there could be way to address it, eg demand min rate and thresholding post/hour.",Franck Dernoncourt,82642,0,0
Comment on Answer,"@FranckDernoncourt When humans hallucinate, it's usually more obviously wrong, and even when it isn't they can't output realistic-looking nonsense at nearly the same rate that AI can so either way it's much less of a curation/moderation burden (I notice you didn't address any of blackgreen's points about that).",John Montgomery,7087,3,0
Comment on Answer,Few people will be willing to admit they have no idea what they're doing and just let an AI do it for them.,Kevin B,95031,7,0
Comment on Answer,@FranckDernoncourt Even when it wasn't banned no one gave proper credit.,Starship-On Discussions Strike,331,13,0
Comment on Answer,"""No matter how good a GenAI model is, they can still hallucinate."" just like humans. "" I can tell you that almost nobody gives proper credit to the AI."" it's banned, so giving proper credit to the AI = ""please ban me"".",Franck Dernoncourt,82642,1,0
Summary,"{'Question Title': 'GenAI is now commonly used for coding (e.g., 25% of the new Google codebase). Could the 2-year-old ban on using genAI for coding be lifted?', 'No of Upvotes': -59, 'Total No of Answers': 1, 'Total No of Comments': 40, 'Question Asker Name': 'Franck Dernoncourt', 'Question Asker Reputation': 82642, 'Question Asker Is Moderator?': 0, 'Tags': 'discussion, rules, ai-generated-content', 'Post Link': 'https://meta.stackoverflow.com/questions/432090/genai-is-now-commonly-used-for-coding-e-g-25-of-the-new-google-codebase-co', 'Date of Post': '2024-10-31'}",,,,
